Date,Circle,Division,PSS,Equipment Name,PTR No.,PTR Capacity (MVA),Max Voltage,Time,Min Voltage,Time,Max Loading,Time,Min Loading,Time,Remarks
,,,,, , ,(kV),(hh:mm),(kV),(hh:mm),(Amp),(hh:mm),(Amp),(hh:mm),
14/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , , , , , , 
14/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , ,20,22:00:00,11,10:00:00, 
14/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , , , , , , 
14/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,48,18:00:00,38,8:00:00, 
14/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
14/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,15,18:00:00,11,10:00:00, 
14/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,15,20:00:00,12,14:00:00, 
14/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,15,18:00:00,13,9:00:00, 
14/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.55,19:00:00,0.34,9:00:00, 
14/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
14/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.52,15:00:00,26.41,20:00:00,4.8,19:00:00,4.3,9:00:00, 
14/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,3,0:00:00,0,0:00:00, , , , , 
14/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , ,3,0:00:00,0,0:00:00, , , , , 
15/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , , , , , , 
15/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
15/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , , , , , , 
15/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,48,4:00:00,46,20:00:00, 
15/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
15/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,16,13:00:00,10,11:00:00, 
15/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,17,17:00:00,12,9:00:00, 
15/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,17,7:00:00,12,14:00:00, 
15/10/2025,RKL,SED,lephripada,11kV dumabahal,1,5, , , , ,0.61,21:00:00,0.35,2:00:00, 
15/10/2025,RKL,SED,lephripada,11kV gunia dihi ,3,3, , , , , , , , , 
15/10/2025,RKL,SED,lephripada,11kV dmf,3,3,26.72,7:00:00,26.41,22:08:00,4.5,18:00:00,4.2,0:00:00, 
15/10/2025,RKL,SED,lephripada,Station Transformer (33kV/0.415kV), , ,5,0:00:00,0,0:00:00, , , , , 
15/10/2025,RKL,SED,lephripada,Charger 48/24 Volt (O/P DC in Volt), , , , , , , , , , , 
16/10/2025,RKL,SED,lephripada,33kV I/C-1 (GSS), , , , , , , , , , , 
16/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (33kV), , , , , , , , , , , 
16/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (33kV), , , , , , , , , , , 
16/10/2025,RKL,SED,lephripada,3.15 MVA PTR-1 (11kV), , , , , , ,51,5:00:00,44,15:00:00, 
16/10/2025,RKL,SED,lephripada,5 MVA PTR-3 (11kV), , , , , , , , , , , 
16/10/2025,RKL,SED,lephripada,11kV lephripada,1,5, , , , ,15,21:08:00,11,23:08:00, 
16/10/2025,RKL,SED,lephripada,11kV chatenpali,1,5, , , , ,18,16:00:00,14,19:00:00, 
16/10/2025,RKL,SED,lephripada,11kV kulabira,1,5, , , , ,17,13:00:00,10,14:00:00, 
